邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNDGGDNZAKLAAUX55204001100026,20250602,20250602,HKG,20250603,,,,AKL,20250608,20250608,HKG-(TPE)-AKL,ZK001CI920-NZ078,2.600,48.00,124.80,RMB,202506,,,6102005,D,
EA,天泽物流,CNDGGDNZAKLAAUX55203001000201,20250602,20250602,HKG,20250603,,,,AKL,20250608,20250608,HKG-(TPE)-AKL,ZK001CI920-NZ078,20.100,48.00,964.80,RMB,202506,,,6102005,D,
EA,天泽物流,CNDGGDNZAKLAAUX55203002100027,20250602,20250602,HKG,20250603,,,,AKL,20250608,20250608,HKG-(TPE)-AKL,ZK001CI920-NZ078,2.700,48.00,129.60,RMB,202506,,,6102005,D,
EA,天泽物流,CNCANDAUMELBAEN51059002100035,20250602,20250602,HKG,20250603,,,,MEL,20250606,20250606,HKG-(TPE)-MEL,ZK001CI920-CI057,3.500,41.00,143.50,RMB,202506,,,6102024,D,
EA,天泽物流,CNCANDAUSYDAAUX56908001000171,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,17.100,41.00,701.10,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56908002000142,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,14.200,41.00,582.20,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56908003100129,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,12.900,41.00,528.90,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56914001100045,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,4.500,41.00,184.50,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56915001000082,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,8.200,41.00,336.20,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56915002100145,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,14.500,41.00,594.50,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56916001100049,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,4.900,41.00,200.90,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56918001000267,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,26.700,41.00,1094.70,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56918002000194,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,19.400,41.00,795.40,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56918003000273,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,27.300,41.00,1119.30,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56918004100039,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,3.900,41.00,159.90,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56926001100046,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,4.600,41.00,188.60,RMB,202506,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51735001000050,20250602,20250602,HKG,20250603,,,,SYD,20250609,20250609,HKG-(TPE)-SYD,ZK001CI920-CI051,5.000,41.00,205.00,RMB,202506,,,6102037,D,
