供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNDGGD,JPKWSA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,20836.0,18.0,375048.0,,,
CP001,天泽物流,LA,CNCANA,AUSYDA,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,171.0,41.0,7011.0,,,
CP001,天泽物流,LA,CNCANA,JPKWSA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,29.7,18.0,534.6,,,
CP001,天泽物流,LA,CNDGGA,JPKWSA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,553.6,18.0,9964.8,,,
CP001,天泽物流,EA,CNDGGD,JPKIXA,,单价,,202507,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,12470.5,18.0,224469.0,,,
CP001,天泽物流,LA,CNSZXA,AUSYDA,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,203.7,41.0,8351.7,,,
CP001,天泽物流,LA,CNSZXA,JPKWSA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,1491.3,18.0,26843.4,,,
CP001,天泽物流,EA,CNSZXD,AUSYDA,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,2080.4,41.0,85296.4,,,
CP001,天泽物流,EA,CNSZXD,JPKIXA,,单价,,202507,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,1533.1,18.0,27595.8,,,
CP001,天泽物流,EA,CNSZXD,JPKWSA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,3060.7,18.0,55092.6,,,
CP001,天泽物流,EA,CNCAND,AUSYDA,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,459.8,41.0,18851.8,,,
CP001,天泽物流,EA,CNCAND,AUSYDB,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,385.5,41.0,15805.5,,,
CP001,天泽物流,EA,CNCAND,JPKIXA,,单价,,202507,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,1827.0,18.0,32886.0,,,
CP001,天泽物流,EA,CNCAND,JPKWSA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,1445.5,18.0,26019.0,,,
CP001,天泽物流,EA,CNCAND,JPTYOA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,5173.1,18.0,93115.8,,,
CP001,天泽物流,LA,CNDGGA,AUSYDA,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,110.0,41.0,4510.0,,,
CP001,天泽物流,EA,CNDGGD,AUSYDA,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,1634.0,41.0,66994.0,,,
CP001,天泽物流,EA,CNDGGD,NZAKLA,,单价,,202507,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,349.6,48.0,16780.8,,,
CP001,天泽物流,EA,CNDGGD,RUMOWS,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,52.5,63.0,3307.5,,,
CP001,天泽物流,EA,CNSZXD,RUMOWS,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,937.1,63.0,59037.3,,,
CP001,天泽物流,LA,CNCANA,AUMELA,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,54.8,41.0,2246.8,,,
CP001,天泽物流,LA,CNCANA,FRROIC,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,12.1,50.0,605.0,,,
CP001,天泽物流,LA,CNCANA,NLHAGI,,单价,,202507,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,19.0,58.0,1102.0,,,
CP001,天泽物流,EA,CNCAND,AUMELA,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,151.2,41.0,6199.2,,,
CP001,天泽物流,EA,CNCAND,CAYVRA,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,78.6,75.0,5895.0,,,
CP001,天泽物流,EA,CNCAND,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,416.0,58.0,24128.0,,,
CP001,天泽物流,EA,CNCAND,FRROIC,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,293.4,50.0,14670.0,,,
CP001,天泽物流,EA,CNCAND,GBCVTA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,233.2,54.0,12592.8,,,
CP001,天泽物流,EA,CNCAND,GBLALA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,305.9,54.0,16518.6,,,
CP001,天泽物流,EA,CNCAND,ITMILR,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,914.4,58.0,53035.2,,,
CP001,天泽物流,EA,CNCAND,KRSELB,,单价,,202507,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,924.4,18.0,16639.2,,,
CP001,天泽物流,EA,CNCAND,NLHAGI,,单价,,202507,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,126.7,58.0,7348.6,,,
CP001,天泽物流,EA,CNCAND,NZAKLA,,单价,,202507,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,1266.9,48.0,60811.2,,,
CP001,天泽物流,EA,CNCAND,RUMOWS,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,2139.7,63.0,134801.1,,,
CP001,天泽物流,LA,CNDGGA,FRROIC,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,49.8,50.0,2490.0,,,
CP001,天泽物流,LA,CNDGGA,GBLALA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,146.3,54.0,7900.2,,,
CP001,天泽物流,LA,CNDGGA,NZAKLA,,单价,,202507,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,8.8,48.0,422.4,,,
CP001,天泽物流,EA,CNDGGD,AUMELA,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,521.9,41.0,21397.9,,,
CP001,天泽物流,EA,CNDGGD,CAYVRB,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,1341.5,75.0,100612.5,,,
CP001,天泽物流,EA,CNDGGD,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,88.0,58.0,5104.0,,,
CP001,天泽物流,EA,CNDGGD,GBLALA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,387.0,54.0,20898.0,,,
CP001,天泽物流,EA,CNDGGD,ITMILR,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,43.6,58.0,2528.8,,,
CP001,天泽物流,EA,CNCAND,ITMXPA,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,18.7,58.0,1084.6,,,
CP001,天泽物流,LA,CNDGGA,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,86.6,58.0,5022.8,,,
CP001,天泽物流,LA,CNDGGA,ITMXPB,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,23.4,58.0,1357.2,,,
CP001,天泽物流,LA,CNDGGA,RUKZNA,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,13.3,63.0,837.9,,,
CP001,天泽物流,LA,CNDGGA,RUMOWS,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,16.5,63.0,1039.5,,,
CP001,天泽物流,LA,CNCANA,GBLALA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,1.0,54.0,54.0,,,
CP001,天泽物流,EA,CNCAND,AUMELB,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,168.9,41.0,6924.9,,,
CP001,天泽物流,EA,CNCAND,CAYVRB,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,749.5,75.0,56212.5,,,
CP001,天泽物流,PA,CNCSXA,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,116.4,58.0,6751.2,,,
CP001,天泽物流,LA,CNSZXA,AUMELA,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,69.8,41.0,2861.8,,,
CP001,天泽物流,LA,CNSZXA,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,52.9,58.0,3068.2,,,
CP001,天泽物流,LA,CNSZXA,FRROIC,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,75.2,50.0,3760.0,,,
CP001,天泽物流,LA,CNSZXA,GBLALA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,29.1,54.0,1571.4,,,
CP001,天泽物流,LA,CNSZXA,ITMXPB,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,251.8,58.0,14604.4,,,
CP001,天泽物流,LA,CNSZXA,NLHAGI,,单价,,202507,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,14.2,58.0,823.6,,,
CP001,天泽物流,EA,CNSZXD,AUMELA,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,631.9,41.0,25907.9,,,
CP001,天泽物流,EA,CNSZXD,CAYVRB,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,168.8,75.0,12660.0,,,
CP001,天泽物流,EA,CNSZXD,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,245.4,58.0,14233.2,,,
CP001,天泽物流,EA,CNSZXD,FRROIC,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,370.5,50.0,18525.0,,,
CP001,天泽物流,EA,CNSZXD,GBLALA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,448.9,54.0,24240.6,,,
CP001,天泽物流,EA,CNSZXD,ITMILR,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,92.5,58.0,5365.0,,,
CP001,天泽物流,EA,CNSZXD,KRSELB,,单价,,202507,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,414.8,18.0,7466.4,,,
CP001,天泽物流,EA,CNSZXD,NLHAGI,,单价,,202507,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,39.7,58.0,2302.6,,,
CP001,天泽物流,EA,CNSZXD,NZAKLA,,单价,,202507,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,110.0,48.0,5280.0,,,
CP001,天泽物流,LA,CNCANA,KRSELB,,单价,,202507,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.4,18.0,43.2,,,
CP001,天泽物流,EA,CNCAND,FRCDGH,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,82.3,50.0,4115.0,,,
CP001,天泽物流,EA,CNDGGD,FRROIC,,单价,,202507,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,36.6,50.0,1830.0,,,
CP001,天泽物流,LA,CNSZXA,NZAKLA,,单价,,202507,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,3.1,48.0,148.8,,,
CP001,天泽物流,LA,CNCSXA,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,28.7,58.0,1664.6,,,
CP001,天泽物流,EA,CNCSXD,KRSELB,,单价,,202507,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,329.6,18.0,5932.8,,,
CP001,天泽物流,LA,CNDGGA,AUMELA,,单价,,202507,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,4.8,41.0,196.8,,,
CP001,天泽物流,LA,CNDGGA,RULEDL,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,6.8,63.0,428.4,,,
CP001,天泽物流,LA,CNDGGA,RUOVBB,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,4.9,63.0,308.7,,,
CP001,天泽物流,LA,CNDGGA,RUVVOF,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1.3,63.0,81.9,,,
CP001,天泽物流,LA,CNSZXA,CAYVRA,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,3.3,75.0,247.5,,,
CP001,天泽物流,LA,CNSZXA,RUMOWS,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,8.2,63.0,516.6,,,
CP001,天泽物流,EA,CNSZXD,CAYVRA,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,5.5,75.0,412.5,,,
CP001,天泽物流,LA,CNCANA,ITMXPB,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,0.3,58.0,17.4,,,
CP001,天泽物流,EA,CNCAND,RULEDL,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,3.6,63.0,226.8,,,
CP001,天泽物流,EA,CNCAND,RUMOWT,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,10.1,63.0,636.3,,,
CP001,天泽物流,LA,CNSZXA,KRSELB,,单价,,202507,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,1.1,18.0,19.8,,,
CP001,天泽物流,LA,CNCANA,DEFRAA,,单价,,202507,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,0.7,58.0,40.6,,,
CP001,天泽物流,EA,CNCAND,RUOVBB,,单价,,202507,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,8.4,63.0,529.2,,,
CP001,天泽物流,LA,CNDGGA,CAYVRA,,单价,,202507,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,18.2,75.0,1365.0,,,
CP001,天泽物流,EA,CNSZXD,USLAXF,,单价,,202507,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,10.7,60.0,642.0,,,
CP001,天泽物流,EA,CNCAND,BRCWBA,,单价,,202507,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,196.7,84.0,16522.8,,,
CP001,天泽物流,EA,CNSZXD,AUSYDB,,单价,,202507,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,38.2,41.0,1566.2,,,
CP001,天泽物流,EA,CNSZXD,ITMXPA,,单价,,202507,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,3.9,58.0,226.2,,,
CP001,天泽物流,EA,CNSZXD,GBCVTA,,单价,,202507,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,4.2,54.0,226.8,,,
CP001,天泽物流,EA,CNSZXD,MXMEXD,,单价,,202507,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,67.7,84.0,5686.8,,,
CP001,天泽物流,EA,CNCAND,MXMEXE,,单价,,202507,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,192.3,84.0,16153.2,,,
CP001,天泽物流,EA,CNCAND,MXMEXD,,单价,,202507,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,318.4,84.0,26745.6,,,
CP001,天泽物流,EA,CNSZXD,JPTYOA,,单价,,202507,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,1.9,18.0,34.2,,,
