邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNCANDNZAKLAAEN51410002000039,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,3.900,48.00,187.20,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410003000019,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.900,48.00,91.20,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410004000016,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.600,48.00,76.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410005000013,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.300,48.00,62.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410006000019,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.900,48.00,91.20,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410007000161,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,16.100,48.00,772.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410008000013,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.300,48.00,62.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410009000036,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,3.600,48.00,172.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410010000048,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,4.800,48.00,230.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410011000099,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,9.900,48.00,475.20,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410012000011,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.100,48.00,52.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51410013100013,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.300,48.00,62.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51412001100163,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,16.300,48.00,782.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51413001100006,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,0.600,48.00,28.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAEN51414001100105,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,10.500,48.00,504.00,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX55997001100202,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,20.200,48.00,969.60,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56008001100041,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,4.100,48.00,196.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56012001000218,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,21.800,48.00,1046.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56012002000191,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,19.100,48.00,916.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56012003100017,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,1.700,48.00,81.60,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56014001000206,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,20.600,48.00,988.80,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56014002100033,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,3.300,48.00,158.40,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDNZAKLAAUX56017001100005,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,0.500,48.00,24.00,RMB,202505,,,6102005,D,
EA,天泽物流,CNCANDRUMOWSAUX56133001000290,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,29.000,63.00,1827.00,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56133002100193,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,19.300,63.00,1215.90,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56144001100101,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,10.100,63.00,636.30,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56146001000268,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,26.800,63.00,1688.40,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56146002100021,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,2.100,63.00,132.30,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56147001100176,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,17.600,63.00,1108.80,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56148001100040,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,4.000,63.00,252.00,RMB,202505,,,6102035,D,
EA,天泽物流,CNCANDRUMOWSAUX56149001100097,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,9.700,63.00,611.10,RMB,202505,,,6102035,D,
LA,天泽物流,CNDGGAAUMELAAUA50059001100006,20250502,20250502,HKG,20250506,,,,MEL,20250507,20250507,HKG-(TPE)-MEL,ZK001CI920-CI057,0.600,41.00,24.60,RMB,202505,,,6102024,D,
LA,天泽物流,CNDGGAAUSYDAAUA50146001100014,20250502,20250502,HKG,20250506,,,,SYD,20250508,20250508,HKG-(TPE)-SYD,ZK001CI920-CI051,1.400,41.00,57.40,RMB,202505,,,6102037,D,
LA,天泽物流,CNDGGAGBLALAAUA50253001100168,20250502,20250502,HKG,20250504,,,,LHR,20250508,20250508,HKG-(KUL)-LHR,ZK001AK139-MH004,16.800,54.00,907.20,RMB,202505,,,6102044,D,
LA,天泽物流,CNDGGAJPKWSAAUA50204001100012,20250502,20250502,HKG,20250506,,,,NRT,20250506,20250506,HKG-(TPE)-NRT,ZK001CI920-JX804,1.200,18.00,21.60,RMB,202505,,,6102029,D,
LA,天泽物流,CNDGGANZAKLAAUA50128001100086,20250502,20250502,HKG,20250506,,,,AKL,20250508,20250508,HKG-(TPE)-AKL,ZK001CI920-NZ078,8.600,48.00,412.80,RMB,202505,,,6102005,D,
LA,天泽物流,CNDGGARUEKAAAUA50090001100025,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,2.500,63.00,157.50,RMB,202505,,,6102035,D,
LA,天泽物流,CNDGGARULEDLAUA50070001100007,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,0.700,63.00,44.10,RMB,202505,,,6102035,D,
LA,天泽物流,CNDGGARUMOWSAUA50083001100014,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,1.400,63.00,88.20,RMB,202505,,,6102035,D,
LA,天泽物流,CNDGGARUOVBBAUA50070001100007,20250502,20250502,HKG,20250506,,,,SVO,20250510,20250510,HKG-(HKT)-SVO,ZK001HX741-SU275,0.700,63.00,44.10,RMB,202505,,,6102035,D,
