邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNSZXDCAYVRBAUX55421001100043,20250901,20250901,HKG,20250902,,,,YVR,20250905,20250905,HKG-(TPE)-YVR,ZK001CI920-CI032,4.300,75.00,322.50,RMB,202509,,,6102045,D,
EA,天泽物流,CNSZXDDEFRAAAUX55658001100022,20250901,20250901,HKG,20250902,,,,FRA,20250905,20250905,HKG-(TPE)-FRA,ZK001CI920-CI061,2.200,58.00,127.60,RMB,202509,,,6102015,D,
EA,天泽物流,CNSZXDDEFRAAAUX55659001100004,20250901,20250901,HKG,20250902,,,,FRA,20250905,20250905,HKG-(TPE)-FRA,ZK001CI920-CI061,0.400,58.00,23.20,RMB,202509,,,6102015,D,
EA,天泽物流,CNSZXDDEFRAAAUX55662001100009,20250901,20250901,HKG,20250902,,,,FRA,20250905,20250905,HKG-(TPE)-FRA,ZK001CI920-CI061,0.900,58.00,52.20,RMB,202509,,,6102015,D,
EA,天泽物流,CNSZXDFRROICAUZ50507001100067,20250901,20250901,HKG,20250904,,,,CDG,20250907,20250907,HKG-(TPE)-CDG,ZK001CI920-BR087,6.700,50.00,335.00,RMB,202509,,,6102041,D,
EA,天泽物流,CNSZXDFRROICAUZ50509001100023,20250901,20250901,HKG,20250904,,,,CDG,20250907,20250907,HKG-(TPE)-CDG,ZK001CI920-BR087,2.300,50.00,115.00,RMB,202509,,,6102041,D,
EA,天泽物流,CNSZXDITMILRAUX55517001100045,20250901,20250901,HKG,20250903,,,,MXP,20250908,20250908,HKG-(DXB)-MXP,ZK001EK381-EK091,4.500,58.00,261.00,RMB,202509,,,5904109,D,
EA,天泽物流,CNSZXDITMILRAUX55518001100003,20250901,20250901,HKG,20250903,,,,MXP,20250908,20250908,HKG-(DXB)-MXP,ZK001EK381-EK091,0.300,58.00,17.40,RMB,202509,,,5904109,D,
EA,天泽物流,CNSZXDITMILRAUX55520001100010,20250901,20250901,HKG,20250903,,,,MXP,20250908,20250908,HKG-(DXB)-MXP,ZK001EK381-EK091,1.000,58.00,58.00,RMB,202509,,,5904109,D,
EA,天泽物流,CNSZXDNLHAGIAUX55445001100012,20250901,20250901,HKG,20250908,,,,AMS,20250913,20250913,HKG-(TPE)-AMS,ZK001CI920-CI073,1.200,58.00,69.60,RMB,202509,,,6102007,D,
EA,天泽物流,CNSZXDNLHAGIAUX55447001100003,20250901,20250901,HKG,20250908,,,,AMS,20250913,20250913,HKG-(TPE)-AMS,ZK001CI920-CI073,0.300,58.00,17.40,RMB,202509,,,6102007,D,
EA,天泽物流,CNSZXDNZAKLAAUX55471001100009,20250901,20250901,HKG,20250902,,,,AKL,20250907,20250907,HKG-(TPE)-AKL,ZK001CI920-NZ078,0.900,48.00,43.20,RMB,202509,,,6102005,D,
EA,天泽物流,CNSZXDRUMOWSAUX55521001000158,20250901,20250901,HKG,20250904,,,,SVO,20250906,20250906,HKG-(HKT)-SVO,ZK001HX741-SU275,15.800,63.00,995.40,RMB,202509,,,6102035,D,
EA,天泽物流,CNSZXDRUMOWSAUX55521002100141,20250901,20250901,HKG,20250904,,,,SVO,20250906,20250906,HKG-(HKT)-SVO,ZK001HX741-SU275,14.100,63.00,888.30,RMB,202509,,,6102035,D,
EA,天泽物流,CNSZXDRUMOWSAUX55524001100081,20250901,20250901,HKG,20250904,,,,SVO,20250906,20250906,HKG-(HKT)-SVO,ZK001HX741-SU275,8.100,63.00,510.30,RMB,202509,,,6102035,D,
LA,天泽物流,CNCSXADEFRAAAUV50062001010273,20250901,20250901,HKG,20250902,,,,FRA,20250905,20250905,HKG-(TPE)-FRA,ZK001CI920-CI061,27.300,58.00,1583.40,RMB,202509,,,6102015,D,
LA,天泽物流,CNCSXADEFRAAAUV50062002010250,20250901,20250901,HKG,20250902,,,,FRA,20250905,20250905,HKG-(TPE)-FRA,ZK001CI920-CI061,25.000,58.00,1450.00,RMB,202509,,,6102015,D,
LA,天泽物流,CNCSXADEFRAAAUV50062003110163,20250901,20250901,HKG,20250902,,,,FRA,20250905,20250905,HKG-(TPE)-FRA,ZK001CI920-CI061,16.300,58.00,945.40,RMB,202509,,,6102015,D,
EA,天泽物流,CNSZXDKRSELBAUY50280001100091,20250901,20250901,HKG,20250902,,,,ICN,20250906,20250906,HKG-(TPE)-ICN,ZK001CI920-7C2602,9.100,18.00,163.80,RMB,202509,,,6102018,D,
EA,天泽物流,CNSZXDKRSELBAUY50282001100023,20250901,20250901,HKG,20250902,,,,ICN,20250906,20250906,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.300,18.00,41.40,RMB,202509,,,6102018,D,
EA,天泽物流,CNSZXDMXMEXDAUX55472001100039,20250901,20250901,HKG,20250903,,,,MEX,20250909,20250909,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,3.900,84.00,327.60,RMB,202509,,,6102025,D,
