供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNCAND,NZAKLA,,单价,,202505,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,2961.3,48.0,142142.4,,,
CP001,天泽物流,EA,CNCAND,RUMOWS,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1364.9,63.0,85988.7,,,
CP001,天泽物流,LA,CNDGGA,AUMELA,,单价,,202505,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,6.5,41.0,266.5,,,
CP001,天泽物流,LA,CNDGGA,AUSYDA,,单价,,202505,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,56.6,41.0,2320.6,,,
CP001,天泽物流,LA,CNDGGA,GBLALA,,单价,,202505,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,334.4,54.0,18057.6,,,
CP001,天泽物流,LA,CNDGGA,JPKWSA,,单价,,202505,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,73.6,18.0,1324.8,,,
CP001,天泽物流,LA,CNDGGA,NZAKLA,,单价,,202505,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,26.6,48.0,1276.8,,,
CP001,天泽物流,LA,CNDGGA,RUEKAA,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,5.0,63.0,315.0,,,
CP001,天泽物流,LA,CNDGGA,RULEDL,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,8.0,63.0,504.0,,,
CP001,天泽物流,LA,CNDGGA,RUMOWS,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,21.9,63.0,1379.7,,,
CP001,天泽物流,LA,CNDGGA,RUOVBB,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,7.4,63.0,466.2,,,
CP001,天泽物流,LA,CNDGGA,RUVVOF,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,3.1,63.0,195.3,,,
CP001,天泽物流,EA,CNDGGD,AUMELA,,单价,,202505,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,664.0,41.0,27224.0,,,
CP001,天泽物流,EA,CNDGGD,AUSYDA,,单价,,202505,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,1992.7,41.0,81700.7,,,
CP001,天泽物流,EA,CNDGGD,CAYVRB,,单价,,202505,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,1053.3,75.0,78997.5,,,
CP001,天泽物流,EA,CNDGGD,GBLALA,,单价,,202505,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,249.7,54.0,13483.8,,,
CP001,天泽物流,EA,CNDGGD,JPKIXA,,单价,,202505,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,7023.0,18.0,126414.0,,,
CP001,天泽物流,EA,CNDGGD,JPKWSA,,单价,,202505,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,11717.5,18.0,210915.0,,,
CP001,天泽物流,EA,CNDGGD,NZAKLA,,单价,,202505,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,147.6,48.0,7084.8,,,
CP001,天泽物流,EA,CNDGGD,RUMOWS,,单价,,202505,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,126.6,63.0,7975.8,,,
CP001,天泽物流,LA,CNCANA,AUMELA,,单价,,202505,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,32.4,41.0,1328.4,,,
CP001,天泽物流,LA,CNCANA,AUSYDA,,单价,,202505,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,95.2,41.0,3903.2,,,
CP001,天泽物流,LA,CNCANA,JPKWSA,,单价,,202505,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,24.8,18.0,446.4,,,
CP001,天泽物流,LA,CNCANA,KRSELB,,单价,,202505,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,6.3,18.0,113.4,,,
CP001,天泽物流,LA,CNCANA,MXMEXD,,单价,,202505,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,64.3,84.0,5401.2,,,
CP001,天泽物流,EA,CNCAND,CAYTOA,,单价,,202505,6102046,HKG-(YVR)-YYZ,ZK001AC008-AC126,548.2,81.0,44404.2,,,
CP001,天泽物流,EA,CNCAND,CAYTOB,,单价,,202505,6102046,HKG-(YVR)-YYZ,ZK001AC008-AC126,1066.7,81.0,86402.7,,,
CP001,天泽物流,EA,CNCAND,CAYVRA,,单价,,202505,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,583.2,75.0,43740.0,,,
CP001,天泽物流,EA,CNCAND,CAYVRB,,单价,,202505,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,1576.5,75.0,118237.5,,,
CP001,天泽物流,EA,CNCAND,GBLALA,,单价,,202505,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,2972.9,54.0,160536.6,,,
CP001,天泽物流,EA,CNCAND,JPTYOA,,单价,,202505,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,8331.6,18.0,149968.8,,,
CP001,天泽物流,EA,CNCAND,KRSELB,,单价,,202505,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,3130.7,18.0,56352.6,,,
CP001,天泽物流,EA,CNCAND,MXMEXD,,单价,,202505,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,5712.1,84.0,479816.4,,,
CP001,天泽物流,LA,CNCANA,GBLALA,,单价,,202505,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,1.6,54.0,86.4,,,
CP001,天泽物流,EA,CNCAND,AUMELA,,单价,,202505,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,1009.3,41.0,41381.3,,,
CP001,天泽物流,EA,CNCAND,AUMELB,,单价,,202505,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,1246.5,41.0,51106.5,,,
CP001,天泽物流,EA,CNCAND,AUSYDA,,单价,,202505,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,5337.5,41.0,218837.5,,,
CP001,天泽物流,EA,CNCAND,JPKWSA,,单价,,202505,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,5922.3,18.0,106601.4,,,
CP001,天泽物流,EA,CNCAND,AUSYDB,,单价,,202505,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,3568.6,41.0,146312.6,,,
