供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNSZXD,CAYVRB,,单价,,202509,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,152.7,75.0,11452.5,,,
CP001,天泽物流,EA,CNSZXD,DEFRAA,,单价,,202509,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,140.0,58.0,8120.0,,,
CP001,天泽物流,EA,CNSZXD,FRROIC,,单价,,202509,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,341.3,50.0,17065.0,,,
CP001,天泽物流,EA,CNSZXD,ITMILR,,单价,,202509,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,111.2,58.0,6449.6,,,
CP001,天泽物流,EA,CNSZXD,NLHAGI,,单价,,202509,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,42.5,58.0,2465.0,,,
CP001,天泽物流,EA,CNSZXD,NZAKLA,,单价,,202509,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,81.2,48.0,3897.6,,,
CP001,天泽物流,EA,CNSZXD,RUMOWS,,单价,,202509,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,895.1,63.0,56391.3,,,
CP001,天泽物流,LA,CNCSXA,DEFRAA,,单价,,202509,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,226.4,58.0,13131.2,,,
CP001,天泽物流,EA,CNSZXD,KRSELB,,单价,,202509,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,329.9,18.0,5938.2,,,
CP001,天泽物流,EA,CNSZXD,MXMEXD,,单价,,202509,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,259.3,84.0,21781.2,,,
CP001,天泽物流,EA,CNCAND,BRSAOD,,单价,,202509,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,17.9,84.0,1503.6,,,
CP001,天泽物流,EA,CNCAND,CAYVRA,,单价,,202509,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,47.7,75.0,3577.5,,,
CP001,天泽物流,EA,CNCAND,CAYVRB,,单价,,202509,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,587.2,75.0,44040.0,,,
CP001,天泽物流,EA,CNCAND,DEFRAA,,单价,,202509,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,506.6,58.0,29382.8,,,
CP001,天泽物流,EA,CNCAND,FRROIC,,单价,,202509,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,357.8,50.0,17890.0,,,
CP001,天泽物流,EA,CNCAND,ITMILR,,单价,,202509,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,414.1,58.0,24017.8,,,
CP001,天泽物流,EA,CNCAND,JPKIXA,,单价,,202509,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,1722.2,18.0,30999.6,,,
CP001,天泽物流,EA,CNCAND,JPKWSA,,单价,,202509,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,1382.9,18.0,24892.2,,,
CP001,天泽物流,EA,CNCAND,JPTYOA,,单价,,202509,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,4130.7,18.0,74352.6,,,
CP001,天泽物流,EA,CNCAND,KRSELB,,单价,,202509,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,887.1,18.0,15967.8,,,
CP001,天泽物流,EA,CNCAND,MXMEXD,,单价,,202509,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,998.3,84.0,83857.2,,,
