供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNDGGD,NZAKLA,,单价,,202506,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,285.0,48.0,13680.0,,,
CP001,天泽物流,EA,CNCAND,AUMELB,,单价,,202506,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,100.4,41.0,4116.4,,,
CP001,天泽物流,EA,CNCAND,AUSYDA,,单价,,202506,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,1577.6,41.0,64681.6,,,
CP001,天泽物流,EA,CNCAND,AUSYDB,,单价,,202506,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,370.8,41.0,15202.8,,,
CP001,天泽物流,EA,CNCAND,CAYTOB,,单价,,202506,6102046,HKG-(YVR)-YYZ,ZK001AC008-AC126,141.6,81.0,11469.6,,,
CP001,天泽物流,EA,CNCAND,CAYVRA,,单价,,202506,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,69.3,75.0,5197.5,,,
CP001,天泽物流,EA,CNCAND,CAYVRB,,单价,,202506,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,755.9,75.0,56692.5,,,
CP001,天泽物流,EA,CNCAND,DEFRAA,,单价,,202506,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,397.7,58.0,23066.6,,,
CP001,天泽物流,EA,CNCAND,FRCDGH,,单价,,202506,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,206.6,50.0,10330.0,,,
CP001,天泽物流,EA,CNCAND,FRROIC,,单价,,202506,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,381.8,50.0,19090.0,,,
CP001,天泽物流,EA,CNCAND,GBCVTA,,单价,,202506,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,236.3,54.0,12760.2,,,
CP001,天泽物流,EA,CNCAND,GBLALA,,单价,,202506,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,1570.0,54.0,84780.0,,,
CP001,天泽物流,EA,CNCAND,ITMILR,,单价,,202506,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,805.7,58.0,46730.6,,,
CP001,天泽物流,EA,CNCAND,ITMXPA,,单价,,202506,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,12.0,58.0,696.0,,,
CP001,天泽物流,EA,CNCAND,KRSELB,,单价,,202506,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,901.0,18.0,16218.0,,,
CP001,天泽物流,EA,CNCAND,NZAKLA,,单价,,202506,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,902.7,48.0,43329.6,,,
CP001,天泽物流,EA,CNCAND,RUMOWS,,单价,,202506,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1689.1,63.0,106413.3,,,
CP001,天泽物流,EA,CNCAND,RUMOWT,,单价,,202506,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,16.0,63.0,1008.0,,,
CP001,天泽物流,EA,CNCAND,RUOVBB,,单价,,202506,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,7.3,63.0,459.9,,,
CP001,天泽物流,LA,CNDGGA,AUSYDA,,单价,,202506,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,52.8,41.0,2164.8,,,
CP001,天泽物流,LA,CNDGGA,DEFRAA,,单价,,202506,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,111.4,58.0,6461.2,,,
