邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNDGGDJPKIXAAUY51030006000190,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,19.000,18.00,342.00,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030007000211,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,21.100,18.00,379.80,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030008000250,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,25.000,18.00,450.00,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030009000203,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,20.300,18.00,365.40,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030010000238,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,23.800,18.00,428.40,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030011000176,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,17.600,18.00,316.80,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030012000213,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,21.300,18.00,383.40,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030013000253,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,25.300,18.00,455.40,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030014000150,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,15.000,18.00,270.00,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030015000187,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,18.700,18.00,336.60,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030016000165,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,16.500,18.00,297.00,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51030017100090,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,9.000,18.00,162.00,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKIXAAUY51032001100126,20250801,20250801,HKG,20250802,,,,KIX,20250805,20250805,HKG-(TPE)-KIX,ZK001CI920-JX820,12.600,18.00,226.80,RMB,202508,,,6102020,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186001000165,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,16.500,18.00,297.00,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186002000177,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,17.700,18.00,318.60,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186003000215,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,21.500,18.00,387.00,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186004000256,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,25.600,18.00,460.80,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186005000247,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,24.700,18.00,444.60,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186006000242,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,24.200,18.00,435.60,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186007000218,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,21.800,18.00,392.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186008000208,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,20.800,18.00,374.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186009000228,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,22.800,18.00,410.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186010000188,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,18.800,18.00,338.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186011000187,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,18.700,18.00,336.60,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186012000219,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,21.900,18.00,394.20,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186013000215,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,21.500,18.00,387.00,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186014000231,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,23.100,18.00,415.80,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186015000234,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,23.400,18.00,421.20,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186016000208,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,20.800,18.00,374.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186017000253,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,25.300,18.00,455.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186018000241,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,24.100,18.00,433.80,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186019000228,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,22.800,18.00,410.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186020000189,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,18.900,18.00,340.20,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186021000206,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,20.600,18.00,370.80,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186022000218,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,21.800,18.00,392.40,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51186023100042,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,4.200,18.00,75.60,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51187001000210,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,21.000,18.00,378.00,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51187002000201,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,20.100,18.00,361.80,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51187003100094,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,9.400,18.00,169.20,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51190001000160,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,16.000,18.00,288.00,RMB,202508,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY51190002100103,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,10.300,18.00,185.40,RMB,202508,,,6102029,D,
LA,天泽物流,CNSZXAAUSYDAAUA50386001100060,20250801,20250801,HKG,20250804,,,,SYD,20250807,20250807,HKG-(TPE)-SYD,ZK001CI920-CI051,6.000,41.00,246.00,RMB,202508,,,6102037,D,
LA,天泽物流,CNSZXAJPKWSAAUA50441001100005,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,0.500,18.00,9.00,RMB,202508,,,6102029,D,
LA,天泽物流,CNSZXAJPKWSAAUA50441002100262,20250801,20250801,HKG,20250802,,,,NRT,20250805,20250805,HKG-(TPE)-NRT,ZK001CI920-JX804,26.200,18.00,471.60,RMB,202508,,,6102029,D,
EA,天泽物流,CNSZXDAUSYDAAUX55735001000282,20250801,20250801,HKG,20250804,,,,SYD,20250807,20250807,HKG-(TPE)-SYD,ZK001CI920-CI051,28.200,41.00,1156.20,RMB,202508,,,6102037,D,
EA,天泽物流,CNSZXDAUSYDAAUX55735002000280,20250801,20250801,HKG,20250804,,,,SYD,20250807,20250807,HKG-(TPE)-SYD,ZK001CI920-CI051,28.000,41.00,1148.00,RMB,202508,,,6102037,D,
