供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNSZXD,GBLALA,,单价,,202508,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,141.7,54.0,7651.8,,,
CP001,天泽物流,EA,CNSZXD,ITMILR,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,101.4,60.0,6084.0,,,
CP001,天泽物流,EA,CNSZXD,KRSELB,,单价,,202508,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,274.6,18.0,4942.8,,,
CP001,天泽物流,EA,CNSZXD,MXMEXD,,单价,,202508,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,175.9,84.0,14775.6,,,
CP001,天泽物流,EA,CNSZXD,NLHAGI,,单价,,202508,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,42.5,62.0,2635.0,,,
CP001,天泽物流,EA,CNSZXD,NZAKLA,,单价,,202508,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,99.8,48.0,4790.4,,,
CP001,天泽物流,EA,CNSZXD,RUMOWS,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1038.8,63.0,65444.4,,,
CP001,天泽物流,EA,CNSZXD,RUMOWT,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,2.0,63.0,126.0,,,
CP001,天泽物流,LA,CNDGGA,RUKZNA,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,14.9,63.0,938.7,,,
CP001,天泽物流,LA,CNDGGA,RUMOWS,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,14.5,63.0,913.5,,,
CP001,天泽物流,LA,CNDGGA,RUOVBB,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,9.5,63.0,598.5,,,
CP001,天泽物流,LA,CNDGGA,RUVVOF,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,3.4,63.0,214.2,,,
CP001,天泽物流,LA,CNSZXA,KRSELB,,单价,,202508,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,3.9,18.0,70.2,,,
CP001,天泽物流,EA,CNSZXD,ITMXPA,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,5.6,60.0,336.0,,,
CP001,天泽物流,LA,CNCANA,KRSELB,,单价,,202508,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,1.3,18.0,23.4,,,
CP001,天泽物流,EA,CNCAND,FRCDGH,,单价,,202508,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,49.9,55.0,2744.5,,,
CP001,天泽物流,EA,CNSZXD,AUSYDB,,单价,,202508,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,28.2,41.0,1156.2,,,
CP001,天泽物流,EA,CNCAND,RULEDL,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,15.4,63.0,970.2,,,
CP001,天泽物流,LA,CNSZXA,NLHAGI,,单价,,202508,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,7.1,62.0,440.2,,,
CP001,天泽物流,EA,CNCAND,BRSAOD,,单价,,202508,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,12.2,84.0,1024.8,,,
CP001,天泽物流,LA,CNSZXA,CAYVRA,,单价,,202508,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,7.0,75.0,525.0,,,
CP001,天泽物流,LA,CNDGGA,AUMELA,,单价,,202508,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,5.5,41.0,225.5,,,
CP001,天泽物流,LA,CNDGGA,ITMILR,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,0.5,60.0,30.0,,,
CP001,天泽物流,LA,CNDGGA,RULEDL,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1.9,63.0,119.7,,,
