邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNCANDAUMELAAUX55957001100097,20250421,20250421,HKG,20250422,,,,MEL,20250428,20250428,HKG-(TPE)-MEL,ZK001CI920-CI057,9.700,41.00,397.70,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUMELBAEN50768001000017,20250421,20250421,HKG,20250422,,,,MEL,20250428,20250428,HKG-(TPE)-MEL,ZK001CI920-CI057,1.700,41.00,69.70,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUMELBAEN50768002000020,20250421,20250421,HKG,20250422,,,,MEL,20250428,20250428,HKG-(TPE)-MEL,ZK001CI920-CI057,2.000,41.00,82.00,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUMELBAEN50768008000024,20250421,20250421,HKG,20250422,,,,MEL,20250428,20250428,HKG-(TPE)-MEL,ZK001CI920-CI057,2.400,41.00,98.40,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUMELBAEN50768011100069,20250421,20250421,HKG,20250422,,,,MEL,20250428,20250428,HKG-(TPE)-MEL,ZK001CI920-CI057,6.900,41.00,282.90,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUSYDAAUX56354002100146,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,14.600,41.00,598.60,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56356001100166,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,16.600,41.00,680.60,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56362002000195,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,19.500,41.00,799.50,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274007000020,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,2.000,41.00,82.00,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274010000063,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,6.300,41.00,258.30,RMB,202504,,,6102037,D,
